space_order,time_tile_size,wf_x_width,wf_y_width,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,16,64,96,256,512,256,256,2,1.32,2.69,143.73,6.54
2,16,64,96,256,256,512,256,1,1.32,2.69,143.73,6.54
2,16,64,96,256,256,512,256,2,1.32,2.69,143.73,6.54
2,16,64,96,256,512,512,512,1,5.22,2.71,145.38,6.61
2,16,64,96,256,512,512,512,2,5.24,2.71,144.83,6.59
2,16,64,96,512,256,256,256,1,1.33,2.69,142.37,6.48
2,16,64,96,512,256,256,256,2,1.33,2.69,142.37,6.48
2,16,96,64,256,256,256,256,1,0.67,2.68,141.58,6.44
2,16,96,64,256,256,256,256,2,0.67,2.68,141.58,6.44
2,16,96,64,256,512,256,256,1,1.32,2.69,143.73,6.54
2,16,96,64,256,512,256,256,2,1.32,2.69,143.73,6.54
2,16,96,64,256,256,512,256,1,1.32,2.69,143.73,6.54
2,16,96,64,256,256,512,256,2,1.32,2.69,143.73,6.54
2,16,96,64,256,512,512,512,1,5.26,2.71,144.28,6.56
2,16,96,64,256,512,512,512,2,5.24,2.71,144.83,6.59
2,16,96,64,512,256,256,256,1,1.33,2.69,142.37,6.48
2,16,96,64,512,256,256,256,2,1.33,2.69,142.37,6.48
2,16,96,96,256,256,256,256,1,0.65,2.68,145.94,6.64
2,16,96,96,256,256,256,256,2,0.65,2.68,145.94,6.64
2,16,96,96,256,512,256,256,1,1.29,2.69,147.07,6.69
2,16,96,96,256,512,256,256,2,1.3,2.69,145.94,6.64
2,16,96,96,256,256,512,256,1,1.3,2.69,145.94,6.64
2,16,96,96,256,256,512,256,2,1.3,2.69,145.94,6.64
2,16,96,96,256,512,512,512,1,8.0,2.71,94.86,4.32
2,16,96,96,256,512,512,512,2,8.0,2.71,94.86,4.32
2,16,96,96,512,256,256,256,1,1.29,2.69,146.79,6.68
2,16,96,96,512,256,256,256,2,1.28,2.69,147.93,6.73
2,32,32,32,256,256,256,256,1,0.89,2.68,106.59,4.85
2,32,32,32,256,256,256,256,2,0.9,2.68,105.4,4.8
2,32,32,32,256,512,256,256,1,1.71,2.69,110.95,5.05
2,32,32,32,256,512,256,256,2,1.72,2.69,110.31,5.02
2,32,32,32,256,256,512,256,1,1.72,2.69,110.31,5.02
2,32,32,32,256,256,512,256,2,1.72,2.69,110.31,5.02
2,32,32,32,256,512,512,512,1,5.89,2.71,128.84,5.86
2,32,32,32,256,512,512,512,2,6.06,2.71,125.23,5.7
2,32,32,32,512,256,256,256,1,1.78,2.69,106.38,4.84
2,32,32,32,512,256,256,256,2,1.78,2.69,106.38,4.84
2,32,32,64,256,256,256,256,1,0.89,2.68,106.59,4.85
2,32,32,64,256,256,256,256,2,0.83,2.68,114.29,5.2
2,32,32,64,256,512,256,256,1,1.68,2.69,112.93,5.14
2,32,32,64,256,512,256,256,2,1.69,2.69,112.26,5.11
2,32,32,64,256,256,512,256,1,1.68,2.69,112.93,5.14
2,32,32,64,256,256,512,256,2,1.69,2.69,112.26,5.11
2,32,32,64,256,512,512,512,1,5.49,2.71,138.23,6.29
2,32,32,64,256,512,512,512,2,5.5,2.71,137.98,6.28
2,32,32,64,512,256,256,256,1,1.65,2.69,114.76,5.22
2,32,32,64,512,256,256,256,2,1.76,2.69,107.59,4.9
2,32,64,32,256,256,256,256,1,0.83,2.68,114.29,5.2
2,32,64,32,256,256,256,256,2,0.83,2.68,114.29,5.2
2,32,64,32,256,512,256,256,1,1.61,2.69,117.84,5.36
2,32,64,32,256,512,256,256,2,1.61,2.69,117.84,5.36
2,32,64,32,256,256,512,256,1,1.73,2.69,109.67,4.99
2,32,64,32,256,256,512,256,2,1.73,2.69,109.67,4.99
2,32,64,32,256,512,512,512,1,5.51,2.71,137.73,6.27
2,32,64,32,256,512,512,512,2,6.07,2.71,125.02,5.69
2,32,64,32,512,256,256,256,1,1.74,2.69,108.83,4.95
2,32,64,32,512,256,256,256,2,1.74,2.69,108.83,4.95
2,32,64,64,256,256,256,256,1,0.71,2.68,133.61,6.08
2,32,64,64,256,256,256,256,2,0.71,2.68,133.61,6.08
2,32,64,64,256,512,256,256,1,1.4,2.69,135.52,6.16
2,32,64,64,256,512,256,256,2,1.4,2.69,135.52,6.16
2,32,64,64,256,256,512,256,1,1.38,2.69,137.48,6.25
2,32,64,64,256,256,512,256,2,1.38,2.69,137.48,6.25
2,32,64,64,256,512,512,512,1,4.86,2.71,156.15,7.1
2,32,64,64,256,512,512,512,2,4.85,2.71,156.47,7.12
2,32,64,64,512,256,256,256,1,1.41,2.69,134.29,6.11
2,32,64,64,512,256,256,256,2,1.41,2.69,134.29,6.11
2,32,64,96,256,256,256,256,1,0.64,2.68,148.22,6.74
2,32,64,96,256,256,256,256,2,0.64,2.68,148.22,6.74
2,32,64,96,256,512,256,256,1,1.26,2.69,150.57,6.85
2,32,64,96,256,512,256,256,2,1.26,2.69,150.57,6.85
2,32,64,96,256,256,512,256,1,1.27,2.69,149.39,6.8
2,32,64,96,256,256,512,256,2,1.27,2.69,149.39,6.8
2,32,64,96,256,512,512,512,1,5.04,2.71,150.57,6.85
2,32,64,96,256,512,512,512,2,5.04,2.71,150.57,6.85
2,32,64,96,512,256,256,256,1,1.27,2.69,149.1,6.78
2,32,64,96,512,256,256,256,2,1.27,2.69,149.1,6.78
2,32,96,64,256,256,256,256,1,0.64,2.68,148.22,6.74
2,32,96,64,256,256,256,256,2,0.64,2.68,148.22,6.74
2,32,96,64,256,512,256,256,1,1.26,2.69,150.57,6.85
2,32,96,64,256,512,256,256,2,1.26,2.69,150.57,6.85
2,32,96,64,256,256,512,256,1,1.26,2.69,150.57,6.85
2,32,96,64,256,256,512,256,2,1.26,2.69,150.57,6.85
2,32,96,64,256,512,512,512,1,5.01,2.71,151.48,6.89
2,32,96,64,256,512,512,512,2,5.0,2.71,151.78,6.9
2,32,96,64,512,256,256,256,1,1.27,2.69,149.1,6.78
2,32,96,64,512,256,256,256,2,1.27,2.69,149.1,6.78
2,32,96,96,256,256,256,256,1,0.61,2.68,155.51,7.07
