space_order,time_tile_size,wf_x_width,wf_y_width,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
8,8,128,64,256,512,512,512,3,13.65,5.47,116.25,2.53
8,8,128,128,256,512,512,512,1,13.75,5.47,115.4,2.51
8,8,128,128,256,512,512,512,2,13.49,5.47,117.63,2.56
8,8,128,128,256,512,512,512,3,13.8,5.47,114.98,2.5
8,8,128,256,256,512,512,512,1,14.28,5.47,111.12,2.42
8,8,128,256,256,512,512,512,2,13.59,5.47,116.76,2.54
8,8,128,256,256,512,512,512,3,13.72,5.47,115.66,2.52
8,8,256,128,256,512,512,512,1,13.35,5.47,118.86,2.59
8,8,256,128,256,512,512,512,2,13.21,5.47,120.12,2.62
8,8,256,128,256,512,512,512,3,13.26,5.47,119.67,2.61
8,8,256,256,256,512,512,512,1,13.58,5.47,116.85,2.55
8,8,256,256,256,512,512,512,2,13.47,5.47,117.8,2.57
8,8,256,256,256,512,512,512,3,13.4,5.47,118.42,2.58
8,16,64,64,256,512,512,512,1,13.38,5.47,118.59,2.58
8,16,64,64,256,512,512,512,2,13.39,5.47,118.51,2.58
8,16,64,64,256,512,512,512,3,13.27,5.47,119.58,2.6
8,16,64,128,256,512,512,512,1,14.25,5.47,111.35,2.43
8,16,64,128,256,512,512,512,2,13.77,5.47,115.24,2.51
8,16,64,128,256,512,512,512,3,14.46,5.47,109.74,2.39
8,16,128,64,256,512,512,512,1,13.62,5.47,116.5,2.54
8,16,128,64,256,512,512,512,2,13.7,5.47,115.82,2.52
8,16,128,64,256,512,512,512,3,13.78,5.47,115.15,2.51
8,16,128,128,256,512,512,512,1,13.9,5.47,114.16,2.49
8,16,128,128,256,512,512,512,2,13.51,5.47,117.45,2.56
8,16,128,128,256,512,512,512,3,13.49,5.47,117.63,2.56
8,16,128,256,256,512,512,512,1,13.76,5.47,115.32,2.51
8,16,128,256,256,512,512,512,2,14.0,5.47,113.34,2.47
8,16,128,256,256,512,512,512,3,13.63,5.47,116.42,2.54
8,16,256,128,256,512,512,512,1,13.22,5.47,120.03,2.61
8,16,256,128,256,512,512,512,2,13.17,5.47,120.49,2.62
8,16,256,128,256,512,512,512,3,13.67,5.47,116.08,2.53
8,16,256,256,256,512,512,512,1,13.63,5.47,116.42,2.54
8,16,256,256,256,512,512,512,2,13.51,5.47,117.45,2.56
8,16,256,256,256,512,512,512,3,13.72,5.47,115.66,2.52
8,32,64,64,256,512,512,512,1,13.11,5.47,121.04,2.64
8,32,64,64,256,512,512,512,2,13.31,5.47,119.22,2.6
8,32,64,64,256,512,512,512,3,13.92,5.47,113.99,2.48
8,32,64,128,256,512,512,512,1,13.92,5.47,113.99,2.48
8,32,64,128,256,512,512,512,2,13.75,5.47,115.4,2.51
8,32,64,128,256,512,512,512,3,13.87,5.47,114.4,2.49
8,32,128,64,256,512,512,512,1,13.63,5.47,116.42,2.54
